PartNo,Status,ClassAndTier,Department,BargainingUnit,Classification,Gender,BenefitService,EligibilityService,DateOfBirth,Salary,EEContribBal,EEContribRate,PartTimePercentage,SecondGender,SecondDateOfBirth,AnnOpt,SSAOpt,YrsCertain,DropPct,CAPopupPct,AnnPmtPct,SSAAmount,SSADropYear,OriginalBenefit,CurrentBenefit,SimpleDBOpt,StatusDate,Weight
494,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,M,0.79,0.85,03/15/1984,43100.52,0,0,1,,,,,,,,,,,,,,,1
495,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,0.54,0.55,11/17/1987,69819.12,0,0,1,,,,,,,,,,,,,,,1
496,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,4.5,4.572,05/25/1986,61153.92,0,0,1,,,,,,,,,,,,,,,1
497,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,F,1.21,3,01/15/1989,66646.2,0,0,1,,,,,,,,,,,,,,,1
498,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,2.29,2.322,05/27/1991,64700.88,0,0,1,,,,,,,,,,,,,,,1
499,Active,Misc.Tier1.PEPRA,,VMO.2,Misc,F,1.62,1.75,06/22/1959,97530.84,0,0,1,,,,,,,,,,,,,,,1
500,Disabled,Police.Classic.30@50,,VPMA.1,Police,F,,,07/20/1958,,,,,,,ORM1,,,,1,,,,,,,,1
501,Disabled,Misc.Tier1.PEPRA,,VPOA.1,Misc,F,,,07/16/1956,,,,,,,ORM1,,,,1,,,,,,,,1
502,Disabled,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,04/26/1960,,,,,,,ORM1,,,,1,,,,,,,,1
503,Disabled,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,12/29/1967,,,,,,,ORM1,,,,1,,,,,,,,1
504,Disabled,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,06/29/1943,,,,,,,ORM1,,,,1,,,,,,,,1
505,Disabled,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,11/15/1948,,,,,,,ORM2,,,,1,,,,,,,,1
506,Disabled,Misc.Tier1.PEPRA,,VCEA.5,Misc,F,,,01/06/1943,,,,,,,ORM2,,,,0,,,,,,,,0
507,Disabled,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,05/14/1956,,,,,,,ORM1,,,,1,,,,,,,,1
508,Disabled,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,01/07/1969,,,,,,,ORM2,,,,1,,,,,,,,1
509,Disabled,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/05/1944,,,,,M,10/16/1943,ORM2,,,,1,,,,,,,,1
510,Disabled,Misc.Tier1.PEPRA,,VPOA.1,Misc,F,,,01/25/1960,,,,,,,ORM1,,,,1,,,,,,,,1
511,Disabled,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,01/26/1966,,,,,F,04/01/1966,ORM2,,,,1,,,,,,,,1
512,Disabled,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,08/10/1957,,,,,,,ORM1,,,,1,,,,,,,,1
513,Disabled,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,11/18/1957,,,,,M,11/15/1956,ORM2,,,,1,,,,,,,,1
514,Disabled,Misc.Tier1.PEPRA,,EL39.4,Misc,M,,,12/03/1952,,,,,,,ORM2,,0,,1,,,,,,,,0.5
515,Disabled,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,11/11/1975,,,,,M,04/25/1975,ORM2,,,,1,,,,,,,,1
516,Disabled,Misc.Tier1.PEPRA,,VPOA.4,Misc,F,,,06/05/1964,,,,,,,ORM2,,5,,1,,,,,,,,0.5
517,Disabled,Misc.Tier1.PEPRA,,EL39.5,Misc,F,,,08/26/1950,,,,,,,ORM2,,,,0,,,,,,,,0
518,Disabled,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,05/08/1949,,,,,,,ORM1,,,,1,,,,,,,,1
519,Disabled,Misc.Tier1.PEPRA,,VPOA.1,Misc,F,,,09/06/1962,,,,,,,ORM1,,,,1,,,,,,,,1
520,Disabled,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,08/01/1967,,,,,F,11/14/1959,ORM2,,,,1,,,,,,,,1
521,Disabled,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,04/22/1946,,,,,F,05/12/1941,ORM2,,,,1,,,,,,,,1
522,Disabled,Misc.Tier1.PEPRA,,AMG.1,Misc,F,,,12/14/1964,,,,,,,ORM1,,,,1,,,,,,,,1
523,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,09/11/1957,,,,,,,ORM2,,0,,1,,,,,,,,0.5
524,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,03/04/1957,,,,,,,ORM2,,,,1,,,,,,,,1
525,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,06/29/1949,,,,,,,ORM2,,,,1,,,,,,,,1
526,Retired,Misc.Tier1.PEPRA,,DH.2,Misc,M,,,09/30/1954,,,,,,,ORM2,,,,1,,,,,,,,1
527,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,07/20/1944,,,,,,,ORM2,,,,1,,,,,,,,1
528,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,03/08/1954,,,,,,,ORM2,,,,1,,,,,,,,1
529,Retired,Misc.Tier1.PEPRA,,VPOA.2,Misc,F,,,08/19/1961,,,,,,,ORM1,,,,1,,,,,,,,1
530,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,01/22/1964,,,,,,,ORM2,,,,1,,,,,,,,1
531,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,07/21/1957,,,,,,,ORM2,,,,0.9,,,,,,,,1
532,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,08/07/1949,,,,,,,ORM1,,,,1,,,,,,,,1
533,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,05/30/1954,,,,,,,ORM2,,,,1,,,,,,,,1
534,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,03/23/1947,,,,,,,ORM2,,,,1,,,,,,,,1
535,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,11/26/1953,,,,,,,ORM2,,,,1,,,,,,,,1
536,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,12/29/1955,,,,,,,ORM1,,,,1,,,,,,,,1
537,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,06/09/1954,,,,,,,ORM2,,,,1,,,,,,,,1
538,Retired,Misc.Tier1.PEPRA,,VCEA.5,Misc,F,,,10/17/1950,,,,,,,ORM2,,,,0,,,,,,,,0
539,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,12/01/1948,,,,,,,ORM1,,,,1,,,,,,,,1
540,Retired,Police.Classic.30@50,,VPOA.1,Police,M,,,12/26/1942,,,,,,,ORM1,,,,1,,,,,,,,1
541,Retired,Police.Classic.30@50,,VPOA.4,Police,M,,,07/20/1954,,,,,,,ORM2,,0,,1,,,,,,,,0.5
542,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,04/16/1939,,,,,,,ORM1,,,,1,,,,,,,,1
543,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,07/15/1955,,,,,,,ORM1,,,,1,,,,,,,,1
544,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,09/29/1956,,,,,,,ORM2,,,,1,,,,,,,,1
545,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,05/26/1955,,,,,,,ORM1,,,,0.9,,,,,,,,1
546,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,01/18/1944,,,,,,,ORM2,,,,1,,,,,,,,1
547,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,12/09/1958,,,,,,,ORM2,,,,1,,,,,,,,1
548,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,08/04/1955,,,,,,,ORM2,,,,1,,,,,,,,1
549,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,01/09/1962,,,,,,,ORM2,,,,1,,,,,,,,1
550,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,11/20/1941,,,,,,,ORM1,,,,1,,,,,,,,1
551,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,08/08/1941,,,,,,,ORM1,,,,1,,,,,,,,1
552,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,02/05/1954,,,,,,,ORM2,,,,1,,,,,,,,1
553,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,10/09/1947,,,,,,,ORM2,,,,1,,,,,,,,1
554,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,03/26/1957,,,,,,,ORM2,,,,1,,,,,,,,1
555,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,01/31/1950,,,,,,,ORM1,,,,1,,,,,,,,1
556,Retired,Fire.Classic.30@50,,DH.1,Fire,M,,,09/20/1945,,,,,,,ORM2,,,,1,,,,,,,,1
557,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,04/21/1950,,,,,,,ORM2,,,,1,,,,,,,,1
558,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,04/01/1931,,,,,,,ORM1,,,,1,,,,,,,,1
559,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,01/20/1967,,,,,,,ORM2,,,,1,,,,,,,,1
560,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,03/13/1959,,,,,,,ORM2,,0,,1,,,,,,,,0.5
561,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,05/28/1963,,,,,,,ORM2,,,,1,,,,,,,,1
562,Retired,Fire.Classic.30@50,,FMG.2,Fire,M,,,02/22/1966,,,,,,,ORM2,,,,1,,,,,,,,1
563,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,11/21/1936,,,,,,,ORM2,,,,1,,,,,,,,1
564,Retired,Misc.Tier1.PEPRA,,AMG.2,Misc,M,,,05/30/1959,,,,,,,ORM1,,,,0.8,,,,,,,,1
565,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,F,,,08/18/1955,,,,,,,ORM2,,,,1,,,,,,,,1
566,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,04/01/1956,,,,,,,ORM1,,,,1,,,,,,,,1
567,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,12/07/1933,,,,,,,ORM1,,,,1,,,,,,,,1
568,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,06/07/1943,,,,,,,ORM2,,,,1,,,,,,,,1
569,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,12/13/1950,,,,,,,ORM2,,,,1,,,,,,,,1
570,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,02/26/1950,,,,,,,ORM1,,,,1,,,,,,,,1
571,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/27/1961,,,,,,,ORM2,,,,1,,,,,,,,1
572,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,08/23/1937,,,,,,,ORM2,,,,1,,,,,,,,1
573,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,01/04/1950,,,,,,,ORM1,,,,1,,,,,,,,1
574,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,03/03/1957,,,,,,,ORM1,,,,1,,,,,,,,1
575,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,05/05/1960,,,,,,,ORM2,,,,1,,,,,,,,1
576,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,11/04/1952,,,,,,,ORM1,,,,1,,,,,,,,1
577,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,09/25/1940,,,,,,,ORM1,,,,1,,,,,,,,1
578,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,01/19/1958,,,,,,,ORM2,,,,1,,,,,,,,1
579,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/13/1946,,,,,,,ORM1,,,,1,,,,,,,,1
580,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,F,,,06/22/1951,,,,,,,ORM2,,,,1,,,,,,,,1
581,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,10/04/1953,,,,,,,ORM2,,,,1,,,,,,,,1
582,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,03/19/1937,,,,,,,ORM1,,,,1,,,,,,,,1
583,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,07/14/1943,,,,,,,ORM2,,,,1,,,,,,,,1
584,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,11/14/1952,,,,,,,ORM2,,,,1,,,,,,,,1
585,Retired,Misc.Tier1.PEPRA,,EL39.5,Misc,M,,,02/17/1939,,,,,,,ORM2,,,,1,,,,,,,,0
586,Retired,Misc.Tier1.PEPRA,,AMG.1,Misc,F,,,12/28/1930,,,,,,,ORM1,,,,1,,,,,,,,1
587,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,09/19/1937,,,,,,,ORM2,,,,1,,,,,,,,1
588,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/06/1949,,,,,,,ORM1,,,,1,,,,,,,,1
589,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,05/01/1934,,,,,,,ORM1,,,,1,,,,,,,,1
590,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,01/03/1963,,,,,,,ORM1,,,,1,,,,,,,,1
591,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,06/10/1957,,,,,,,ORM2,,,,1,,,,,,,,1
592,Retired,Misc.Tier1.PEPRA,,EL39.5,Misc,M,,,02/10/1950,,,,,,,ORM2,,,,1,,,,,,,,0
593,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,11/22/1960,,,,,,,ORM2,,,,1,,,,,,,,1
594,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,03/04/1947,,,,,,,ORM2,,,,1,,,,,,,,1
595,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,08/04/1955,,,,,,,ORM2,,,,1,,,,,,,,1
596,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,03/17/1956,,,,,,,ORM2,,,,1,,,,,,,,1
597,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,06/11/1958,,,,,,,ORM2,,,,1,,,,,,,,1
598,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,12/25/1953,,,,,,,ORM1,,,,1,,,,,,,,1
599,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,02/06/1957,,,,,,,ORM1,,,,0.85,,,,,,,,1
600,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,11/21/1933,,,,,,,ORM1,,,,1,,,,,,,,1
601,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/28/1952,,,,,,,ORM2,,,,1,,,,,,,,1
602,Retired,Misc.Tier1.PEPRA,,AMG.2,Misc,F,,,07/13/1954,,,,,,,ORM2,,,,1,,,,,,,,1
603,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,02/24/1960,,,,,,,ORM1,,,,1,,,,,,,,1
604,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,06/24/1943,,,,,,,ORM2,,,,1,,,,,,,,1
605,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,12/31/1961,,,,,,,ORM1,,,,1,,,,,,,,1
606,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,12/07/1957,,,,,,,ORM2,,,,1,,,,,,,,1
607,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,04/05/1962,,,,,,,ORM2,,,,1,,,,,,,,1
608,Retired,Misc.Tier1.PEPRA,,VPOA.1,Misc,F,,,11/24/1939,,,,,,,ORM1,,,,1,,,,,,,,1
609,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,07/15/1946,,,,,,,ORM2,,,,1,,,,,,,,1
610,Retired,Misc.Tier1.PEPRA,,VPOA.1,Misc,F,,,07/24/1948,,,,,,,ORM1,,,,1,,,,,,,,1
611,Retired,Misc.Tier1.PEPRA,,VCEA.5,Misc,M,,,03/05/1941,,,,,,,ORM2,,,,0,,,,,,,,0
612,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,07/01/1946,,,,,,,ORM2,,,,1,,,,,,,,1
613,Retired,Police.Classic.30@50,,VPOA.1,Police,M,,,01/29/1953,,,,,,,ORM2,,,,1,,,,,,,,1
614,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,07/26/1960,,,,,,,ORM1,,,,1,,,,,,,,1
615,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,10/28/1936,,,,,,,ORM1,,,,1,,,,,,,,1
616,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,06/03/1931,,,,,,,ORM1,,,,1,,,,,,,,1
617,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,12/13/1951,,,,,,,ORM1,,,,1,,,,,,,,1
618,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,12/23/1963,,,,,,,ORM2,,,,1,,,,,,,,1
619,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,08/03/1956,,,,,,,ORM2,,,,1,,,,,,,,1
620,Retired,Police.Classic.30@50,,VPMA.4,Police,M,,,07/25/1964,,,,,,,ORM2,,5,,1,,,,,,,,0.5
621,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,07/24/1952,,,,,,,ORM1,,,,1,,,,,,,,1
622,Retired,Fire.Classic.30@50,,FMG.2,Fire,M,,,06/01/1961,,,,,,,ORM2,,,,1,,,,,,,,1
623,Retired,Police.Classic.30@50,,VPMA.1,Police,M,,,04/23/1958,,,,,,,ORM2,,,,1,,,,,,,,1
624,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,06/08/1951,,,,,,,ORM2,,,,1,,,,,,,,1
625,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,01/16/1960,,,,,,,ORM2,,1,,1,,,,,,,,0.5
626,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,05/11/1950,,,,,,,ORM2,,,,1,,,,,,,,1
627,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,09/15/1949,,,,,,,ORM2,,,,1,,,,,,,,1
628,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,03/01/1953,,,,,,,ORM1,,,,1,,,,,,,,1
629,Retired,Misc.Tier1.PEPRA,,EL39.5,Misc,M,,,10/02/1936,,,,,,,ORM2,,,,0,,,,,,,,0
630,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,04/27/1949,,,,,,,ORM2,,,,1,,,,,,,,1
631,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,08/06/1959,,,,,,,ORM2,,,,1,,,,,,,,1
632,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,M,,,08/15/1952,,,,,,,ORM2,,,,1,,,,,,,,1
633,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/02/1942,,,,,,,ORM2,,,,1,,,,,,,,1
634,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,01/16/1951,,,,,,,ORM2,,,,1,,,,,,,,1
635,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/18/1949,,,,,,,ORM1,,,,1,,,,,,,,1
636,Retired,Misc.Tier1.PEPRA,,EL39.5,Misc,M,,,04/14/1943,,,,,,,ORM2,,,,0,,,,,,,,0
637,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,03/22/1958,,,,,,,ORM2,,,,1,,,,,,,,1
638,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,03/31/1944,,,,,,,ORM2,,,,1,,,,,,,,1
639,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,07/25/1963,,,,,,,ORM2,,,,0.75,,,,,,,,1
640,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,08/25/1958,,,,,,,ORM2,,,,1,,,,,,,,1
641,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,11/26/1949,,,,,,,ORM1,,,,1,,,,,,,,1
642,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,10/21/1949,,,,,,,ORM2,,,,1,,,,,,,,1
643,Retired,Misc.Tier1.PEPRA,,VMO.4,Misc,F,,,10/31/1953,,,,,,,ORM2,,0,,1,,,,,,,,0.5
644,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,09/24/1937,,,,,,,ORM2,,,,1,,,,,,,,1
645,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,03/31/1948,,,,,,,ORM1,,,,1,,,,,,,,1
646,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,09/03/1943,,,,,,,ORM2,,,,1,,,,,,,,1
647,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/14/1934,,,,,,,ORM1,,,,1,,,,,,,,1
648,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,03/07/1952,,,,,,,ORM2,,,,1,,,,,,,,1
649,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,12/25/1941,,,,,,,ORM1,,,,1,,,,,,,,1
650,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,02/06/1950,,,,,,,ORM2,,,,1,,,,,,,,1
651,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,06/01/1959,,,,,,,ORM2,,,,1,,,,,,,,1
652,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,12/12/1951,,,,,,,ORM2,,,,1,,,,,,,,1
653,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,F,,,08/04/1958,,,,,,,ORM2,,,,1,,,,,,,,1
654,Retired,Misc.Tier1.PEPRA,,VCEA.5,Misc,M,,,05/28/1945,,,,,,,ORM2,,,,0,,,,,,,,0
655,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,02/01/1956,,,,,,,ORM2,,,,1,,,,,,,,1
656,Retired,Fire.Classic.30@50,,FMG.2,Fire,M,,,03/27/1955,,,,,,,ORM1,,,,1,,,,,,,,1
657,Retired,Police.Classic.30@50,,VPMA.1,Police,M,,,12/07/1933,,,,,,,ORM2,,,,1,,,,,,,,1
658,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,06/13/1956,,,,,,,ORM2,,,,1,,,,,,,,1
659,Retired,Fire.Classic.30@50,,VFA.1,Fire,M,,,07/27/1944,,,,,,,ORM2,,,,1,,,,,,,,1
660,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,03/22/1949,,,,,,,ORM1,,,,1,,,,,,,,1
661,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,04/21/1950,,,,,,,ORM2,,,,1,,,,,,,,1
662,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,08/29/1954,,,,,,,ORM2,,,,1,,,,,,,,1
663,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,05/20/1951,,,,,,,ORM2,,,,1,,,,,,,,1
664,Retired,Misc.Tier1.PEPRA,,VCEA.4,Misc,F,,,09/23/1957,,,,,,,ORM2,,0,,1,,,,,,,,0.5
665,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,01/09/1948,,,,,,,ORM2,,,,1,,,,,,,,1
666,Retired,Misc.Tier1.PEPRA,,EL39.3,Misc,F,,,10/05/1929,,,,,,,ORM1,,,,1,,,,,,,,1
667,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,M,,,09/18/1951,,,,,,,ORM2,,,,1,,,,,,,,1
668,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,07/09/1940,,,,,,,ORM1,,,,1,,,,,,,,1
669,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,06/04/1959,,,,,,,ORM2,,,,1,,,,,,,,1
670,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,F,,,04/18/1941,,,,,,,ORM1,,,,1,,,,,,,,1
671,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,08/14/1948,,,,,,,ORM2,,,,1,,,,,,,,1
672,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,01/22/1934,,,,,,,ORM2,,,,1,,,,,,,,1
673,Retired,Misc.Tier1.PEPRA,,CC.1,Misc,M,,,02/09/1935,,,,,,,ORM2,,,,1,,,,,,,,1
674,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,12/23/1948,,,,,,,ORM1,,,,1,,,,,,,,1
675,Retired,Police.Classic.30@50,,VPMA.1,Police,M,,,11/27/1949,,,,,,,ORM2,,,,1,,,,,,,,1
676,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,08/31/1944,,,,,,,ORM2,,,,1,,,,,,,,1
677,Retired,Misc.Tier1.PEPRA,,EL39.1,Misc,F,,,10/07/1933,,,,,,,ORM1,,,,1,,,,,,,,1
678,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,,,10/02/1948,,,,,,,ORM2,,,,1,,,,,,,,1
679,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,04/30/1946,,,,,,,ORM2,,,,1,,,,,,,,1
680,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,08/09/1960,,,,,,,ORM2,,,,1,,,,,,,,1
681,Retired,Misc.Tier1.PEPRA,,EL39.4,Misc,M,,,01/24/1956,,,,,,,ORM2,,0,,1,,,,,,,,0.5
682,Retired,Misc.Tier1.PEPRA,,VCEA.2,Misc,M,,,06/22/1952,,,,,,,ORM1,,,,1,,,,,,,,1
683,Retired,Police.Classic.30@50,,VPOA.2,Police,M,,,10/30/1954,,,,,,,ORM2,,,,1,,,,,,,,1
684,Retired,Misc.Tier1.PEPRA,,VMO.1,Misc,M,,,12/07/1935,,,,,,,ORM2,,,,1,,,,,,,,1
685,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,09/18/1945,,,,,,,ORM1,,,,1,,,,,,,,1
686,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,M,,,08/21/1939,,,,,,,ORM2,,,,1,,,,,,,,1
687,Retired,Misc.Tier1.PEPRA,,EL39.2,Misc,M,,,05/18/1954,,,,,,,ORM2,,,,1,,,,,,,,1
688,Retired,Misc.Tier1.PEPRA,,VCEA.1,Misc,F,,,04/13/1945,,,,,,,ORM2,,,,1,,,,,,,,1
689,Retired,Misc.Tier1.PEPRA,,DH.1,Misc,M,,,11/30/1943,,,,,,,ORM2,,,,1,,,,,,,,1
690,Retired,Police.Classic.30@50,,VPMA.2,Police,M,,,08/22/1964,,,,,,,ORM2,,,,1,,,,,,,,1
691,Retired,Fire.Classic.30@50,,VFA.4,Fire,M,,,12/17/1957,,,,,,,ORM2,,0,,1,,,,,,,,0.5
692,Retired,Fire.Classic.30@50,,VFA.2,Fire,M,,,11/24/1957,,,,,,,ORM2,,,,1,,,,,,,,1
693,Retired,Misc.Tier1.PEPRA,,VCEA.5,Misc,F,,,02/05/1947,,,,,,,ORM2,,,,0,,,,,,,,0
694,Retired,Misc.Tier1.PEPRA,,VMO.2,Misc,M,,,09/29/1955,,,,,,,ORM2,,,,1,,,,,,,,1
