PartNo,Status,ClassAndTier,Department,BargainingUnit,Classification,Gender,BenefitService,EligibilityService,DateOfBirth,Salary,EEContribBal,EEContribRate,PartTimePercentage,SecondGender,SecondDateOfBirth,AnnOpt,SSAOpt,YrsCertain,DropPct,CAPopupPct,AnnPmtPct,SSAAmount,SSADropYear,OriginalBenefit,CurrentBenefit,SimpleDBOpt,StatusDate,Weight
359,Active,Police.Classic.30@50,,VPMA.1,Police,M,24.21,24.25,08/17/1969,132154.92,0,0,1,,,,,,,,,,,,,,,1
360,Active,Fire.Classic.2@50,,VFA.2,Fire,M,3.04,6,08/20/1980,106659.24,0,0,1,,,,,,,,,,,,,,,1
361,Active,Police.Classic.30@50,,VPOA.1,Police,M,21.83,22,08/30/1968,98946.12,0,0,1,,,,,,,,,,,,,,,1
362,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,17.12,17.15,05/23/1975,60192.6,0,0,1,,,,,,,,,,,,,,,1
363,Active,Fire.Classic.2@50,,VFA.2,Fire,M,4.51,11.157,01/15/1976,111992.16,0,0,1,,,,,,,,,,,,,,,1
364,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,8.58,12.488,05/05/1978,102956.76,0,0,1,,,,,,,,,,,,,,,1
365,Active,Misc.Tier1.Classic.2@55,,VPOA.2,Misc,F,1.71,19.092,08/03/1968,72499.2,0,0,1,,,,,,,,,,,,,,,1
366,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,21.74,22.574,01/06/1963,63202.08,0,0,1,,,,,,,,,,,,,,,1
367,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,14.75,14.9,09/24/1962,53263.92,0,0,1,,,,,,,,,,,,,,,1
368,Active,Police.Classic.2@50,,VPOA.2,Police,M,4.21,5.69,05/26/1984,98946.12,0,0,1,,,,,,,,,,,,,,,1
369,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,13.87,23.9,04/12/1963,75184.56,0,0,1,,,,,,,,,,,,,,,1
370,Active,Police.Classic.30@50,,VPOA.1,Police,F,9.61,9.533,06/28/1982,98946.12,0,0,1,,,,,,,,,,,,,,,1
371,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,11.25,11.3,02/03/1962,61677.12,0,0,1,,,,,,,,,,,,,,,1
372,Active,Police.Classic.2@50,,VPOA.2,Police,M,2.75,2.873,10/08/1977,98946.12,0,0,1,,,,,,,,,,,,,,,1
373,Active,Police.Classic.2@50,,VPOA.2,Police,M,2.08,2.1,09/04/1976,98946.12,0,0,1,,,,,,,,,,,,,,,1
374,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,23.02,23.032,06/19/1969,76551.6,0,0,1,,,,,,,,,,,,,,,1
375,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,F,15.21,15.25,03/10/1958,97312.68,0,0,1,,,,,,,,,,,,,,,1
376,Active,Police.Classic.30@50,,VPOA.1,Police,M,11.83,20,05/13/1966,98946.12,0,0,1,,,,,,,,,,,,,,,1
377,Active,Misc.Tier1.Classic.2@55,,VMO.2,Misc,M,6.08,7.835,10/12/1967,99745.2,0,0,1,,,,,,,,,,,,,,,1
378,Active,Fire.Classic.30@50,,VFA.2,Fire,M,21.14,21.182,12/30/1969,125251.92,0,0,1,,,,,,,,,,,,,,,1
379,Active,Misc.Tier1.Classic.2@55,,VPOA.1,Misc,F,9.91,29.808,03/20/1968,83784.12,0,0,1,,,,,,,,,,,,,,,1
380,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,11.08,11.1,10/09/1963,80823.96,0,0,1,,,,,,,,,,,,,,,1
381,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,17.12,17.15,10/03/1960,53263.92,0,0,1,,,,,,,,,,,,,,,1
382,Active,Police.Classic.30@50,,VPOA.1,Police,M,24.21,24.25,01/03/1973,98946.12,0,0,1,,,,,,,,,,,,,,,1
383,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,3.29,3.35,09/04/1959,47513.28,0,0,1,,,,,,,,,,,,,,,1
384,Active,Police.Classic.30@50,,VPMA.1,Police,M,25.66,25.8,05/25/1965,132154.92,0,0,1,,,,,,,,,,,,,,,1
385,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,19.29,19.35,07/27/1965,111948,0,0,1,,,,,,,,,,,,,,,1
386,Active,Police.Classic.30@50,,VPOA.1,Police,M,17.04,26.046,06/27/1966,98946.12,0,0,1,,,,,,,,,,,,,,,1
387,Active,Police.Classic.30@50,,VPMA.1,Police,M,18.71,18.85,11/12/1975,132154.92,0,0,1,,,,,,,,,,,,,,,1
388,Active,Police.Classic.30@50,,VPOA.1,Police,M,21.4,21.482,04/13/1971,98946.12,0,0,1,,,,,,,,,,,,,,,1
389,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,27.62,27.75,12/31/1952,82749.36,0,0,1,,,,,,,,,,,,,,,1
390,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,F,10.28,10.346,05/07/1971,97312.68,0,0,1,,,,,,,,,,,,,,,1
391,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,13.12,13.15,05/14/1971,84363.84,0,0,1,,,,,,,,,,,,,,,1
392,Active,Police.Classic.30@50,,VPOA.1,Police,M,19.37,20.9,07/22/1971,98946.12,0,0,1,,,,,,,,,,,,,,,1
393,Active,Fire.Classic.30@50,,VFA.2,Fire,M,15.91,16,10/28/1969,111992.16,0,0,1,,,,,,,,,,,,,,,1
394,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,11.49,12.39,08/11/1963,71409.72,0,0,1,,,,,,,,,,,,,,,1
395,Active,Fire.Classic.30@50,,VFA.2,Fire,F,14.47,19.973,11/28/1967,111992.16,0,0,1,,,,,,,,,,,,,,,1
396,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,27.99,28,02/20/1965,86885.64,0,0,1,,,,,,,,,,,,,,,1
397,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,0.46,12,10/09/1967,54596.88,0,0,1,,,,,,,,,,,,,,,1
398,Active,Misc.Tier1.Classic.2@55,,VMO.2,Misc,F,4.04,14.061,08/04/1980,93039.84,0,0,1,,,,,,,,,,,,,,,1
399,Active,Fire.Classic.30@50,,VFA.1,Fire,M,8.79,9.934,11/12/1978,111992.16,0,0,1,,,,,,,,,,,,,,,1
400,Active,Police.Classic.30@50,,VPOA.1,Police,F,15.48,15.594,09/05/1965,98946.12,0,0,1,,,,,,,,,,,,,,,1
401,Active,Fire.Classic.30@50,,VFA.1,Fire,M,20.54,20.65,10/01/1971,111992.16,0,0,1,,,,,,,,,,,,,,,1
402,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,13.58,14.648,06/07/1970,61986.36,0,0,1,,,,,,,,,,,,,,,1
403,Active,Misc.Tier1.Classic.2@55,,AMG.1,Misc,M,10.57,17.349,11/27/1959,105045.6,0,0,1,,,,,,,,,,,,,,,1
404,Active,Misc.Tier1.Classic.2@55,,DH.2,Misc,M,6.18,15.512,03/18/1956,200267.64,0,0,1,,,,,,,,,,,,,,,1
405,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,20.75,20.9,06/18/1958,93878.76,0,0,1,,,,,,,,,,,,,,,1
406,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,F,4.71,4.811,12/03/1970,53263.92,0,0,1,,,,,,,,,,,,,,,1
407,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,13.91,14.323,10/23/1969,80823.96,0,0,1,,,,,,,,,,,,,,,1
408,Active,Police.Classic.30@50,,VPOA.1,Police,M,17.49,22.9,11/21/1970,98946.12,0,0,1,,,,,,,,,,,,,,,1
409,Active,Misc.Tier1.Classic.2@55,,VCEA.2,Misc,F,16.29,16.35,11/13/1955,61153.92,0,0,1,,,,,,,,,,,,,,,1
410,Active,Misc.Tier1.Classic.2@55,,DH.2,Misc,F,21.58,21.676,11/17/1965,207049.92,0,0,1,,,,,,,,,,,,,,,1
411,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,27,27,10/12/1970,68009.28,0,0,1,,,,,,,,,,,,,,,1
412,Active,Police.Classic.2@50,,VPOA.2,Police,M,4.79,10.376,07/23/1974,98946.12,0,0,1,,,,,,,,,,,,,,,1
413,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,2.41,2.5,02/04/1977,48664.2,0,0,1,,,,,,,,,,,,,,,1
414,Active,Misc.Tier1.Classic.2@55,,AMG.2,Misc,F,0.66,9.518,02/22/1975,136675.68,0,0,1,,,,,,,,,,,,,,,1
415,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,15.12,15.15,01/25/1966,84363.84,0,0,1,,,,,,,,,,,,,,,1
416,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,M,13.87,14,11/09/1963,60181.32,0,0,1,,,,,,,,,,,,,,,1
417,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,3.41,3.5,07/18/1953,57326.16,0,0,1,,,,,,,,,,,,,,,1
418,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,2.58,10.138,01/09/1975,53651.88,0,0,1,,,,,,,,,,,,,,,1
419,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,11.04,18.641,11/24/1963,144174.24,0,0,1,,,,,,,,,,,,,,,1
420,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,17.91,17.798,11/29/1972,76551.6,0,0,1,,,,,,,,,,,,,,,1
421,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,15.91,21.334,01/05/1958,63202.08,0,0,1,,,,,,,,,,,,,,,1
422,Active,Misc.Tier1.Classic.2@55,,VCEA.1,Misc,F,9.02,9.027,08/22/1982,82920.72,0,0,1,,,,,,,,,,,,,,,1
423,Active,Fire.Classic.30@50,,VFA.2,Fire,M,15.91,16.253,11/20/1974,99548.4,0,0,1,,,,,,,,,,,,,,,1
424,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,14.25,16.084,12/04/1966,80823.96,0,0,1,,,,,,,,,,,,,,,1
425,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,17.91,18,04/16/1970,97691.88,0,0,1,,,,,,,,,,,,,,,1
426,Active,Police.Classic.30@50,,VPOA.1,Police,M,10.55,12.652,12/10/1985,98946.12,0,0,1,,,,,,,,,,,,,,,1
427,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,1.5,3.827,03/20/1986,58900.44,0,0,1,,,,,,,,,,,,,,,1
428,Active,Misc.Tier1.PEPRA,,EL39.3,Misc,M,3.62,3.75,01/13/1983,64770.84,0,0,1,,,,,,,,,,,,,,,1
429,Active,Misc.Tier1.Classic.2@55,,DH.1,Misc,F,17.2,17.25,02/17/1969,167574.12,0,0,1,,,,,,,,,,,,,,,1
430,Active,Fire.Classic.30@50,,VFA.2,Fire,M,8.75,11.408,02/18/1974,111992.16,0,0,1,,,,,,,,,,,,,,,1
431,Active,Police.Classic.30@50,,VPOA.1,Police,M,10.49,10.6,09/30/1980,98946.12,0,0,1,,,,,,,,,,,,,,,1
432,Active,Misc.Tier1.PEPRA,,VCEA.2,Misc,F,1.62,1.75,07/23/1993,51419.4,0,0,1,,,,,,,,,,,,,,,1
433,Active,Misc.Tier1.Classic.2@55,,VMO.1,Misc,M,10.74,10.9,06/13/1962,110296.92,0,0,1,,,,,,,,,,,,,,,1
434,Active,Misc.Tier1.Classic.2@55,,EL39.3,Misc,M,10.49,10.594,06/21/1974,63202.08,0,0,1,,,,,,,,,,,,,,,1
