Service,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274,0.10274
1,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031,0.08031
2,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278,0.06278
3,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907,0.04907
4,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836,0.03836
5,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998,0.02998
6,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344,0.02344
7,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832,0.01832
8,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432,0.01432
