Service,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79
0,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17,0.17
1,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11
2,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
3,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058,0.058
4,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726,0.04726
5,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723,0.03723
6,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934,0.02934
7,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311,0.02311
8,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821,0.01821
